x,y
5.081499350074464587e+02,-4.466051356065440459e+00
5.081583161382225740e+02,-4.465965635301540004e+00
5.081666972736832122e+02,-4.465880373782360024e+00
5.081750784137855703e+02,-4.465795569812597954e+00
5.081834595584882095e+02,-4.465711221718919433e+00
5.081918407077497477e+02,-4.465627327836408256e+00
5.082002218615289735e+02,-4.465543886500165982e+00
5.082086030197847322e+02,-4.465460896046886674e+00
5.082169841824766081e+02,-4.465378354832084895e+00
5.082253653495648109e+02,-4.465296261223589802e+00
5.082337465210094933e+02,-4.465214613589441051e+00
5.082421276967707513e+02,-4.465133410298200545e+00
5.082505088768096471e+02,-4.465052649732931478e+00
5.082588900610875839e+02,-4.464972330292806824e+00
5.082672712495661358e+02,-4.464892450377830890e+00
5.082756524422068196e+02,-4.464813008388095916e+00
5.082840336389717777e+02,-4.464734002733480978e+00
5.082924148398237207e+02,-4.464655431842842859e+00
5.083007960447256437e+02,-4.464577294147220599e+00
5.083091772536403141e+02,-4.464499588077651460e+00
5.083175584665309543e+02,-4.464422312070710497e+00
5.083259396833615824e+02,-4.464345464583020728e+00
5.083343209040963870e+02,-4.464269044075738435e+00
5.083427021286996137e+02,-4.464193049010018122e+00
5.083510833571353942e+02,-4.464117477849595339e+00
5.083594645893690540e+02,-4.464042329076728599e+00
5.083678458253658619e+02,-4.463967601181777489e+00
5.083762270650912569e+02,-4.463893292655138900e+00
5.083846083085107921e+02,-4.463819401988115665e+00
5.083929895555906455e+02,-4.463745927686922244e+00
5.084013708062972796e+02,-4.463672868269983773e+00
5.084097520605973841e+02,-4.463600222256081551e+00
5.084181333184575351e+02,-4.463527988164179838e+00
5.084265145798449339e+02,-4.463456164523513792e+00
5.084348958447272366e+02,-4.463384749879089064e+00
5.084432771130722699e+02,-4.463313742777256898e+00
5.084516583848478035e+02,-4.463243141764364985e+00
5.084600396600218915e+02,-4.463172945392537727e+00
5.084684209385631561e+02,-4.463103152231528981e+00
5.084768022204406748e+02,-4.463033760854449916e+00
5.084851835056232972e+02,-4.462964769834412593e+00
5.084935647940799299e+02,-4.462896177747067483e+00
5.085019460857803892e+02,-4.462827983184759262e+00
5.085103273806946618e+02,-4.462760184746568548e+00
5.085187086787926205e+02,-4.462692781031598166e+00
5.085270899800442521e+02,-4.462625770639757405e+00
5.085354712844201686e+02,-4.462559152184210731e+00
5.085438525918913797e+02,-4.462492924288981477e+00
5.085522339024288954e+02,-4.462427085578411834e+00
5.085606152160036686e+02,-4.462361634676962119e+00
5.085689965325870503e+02,-4.462296570217787028e+00
5.085773778521510735e+02,-4.462231890848393334e+00
5.085857591746677144e+02,-4.462167595217636951e+00
5.085941405001088924e+02,-4.462103681974371128e+00
5.086025218284469247e+02,-4.462040149771861586e+00
5.086109031596545265e+02,-4.461976997279214707e+00
5.086192844937047539e+02,-4.461914223169090477e+00
5.086276658305704359e+02,-4.461851826114148878e+00
5.086360471702247992e+02,-4.461789804788720559e+00
5.086444285126412979e+02,-4.461728157881333701e+00
5.086528098577938977e+02,-4.461666884087718721e+00
5.086611912056563938e+02,-4.461605982103660217e+00
5.086695725562028088e+02,-4.461545450625332698e+00
5.086779539094074494e+02,-4.461485288359239298e+00
5.086863352652450203e+02,-4.461425494023067095e+00
5.086947166236903968e+02,-4.461366066335060943e+00
5.087030979847182266e+02,-4.461307004013485233e+00
5.087114793483036124e+02,-4.461248305782457457e+00
5.087198607144222251e+02,-4.461189970380016412e+00
5.087282420830496790e+02,-4.461131996546221501e+00
5.087366234541615881e+02,-4.461074383021133016e+00
5.087450048277336236e+02,-4.461017128547211108e+00
5.087533862037422523e+02,-4.460960231880754634e+00
5.087617675821638841e+02,-4.460903691783006053e+00
5.087701489629749290e+02,-4.460847507015216706e+00
5.087785303461519675e+02,-4.460791676339292522e+00
5.087869117316720349e+02,-4.460736198527929908e+00
5.087952931195123369e+02,-4.460681072362703503e+00
5.088036745096501363e+02,-4.460626296625447296e+00
5.088120559020628662e+02,-4.460571870098055669e+00
5.088204372967279596e+02,-4.460517791568934243e+00
5.088288186936234752e+02,-4.460464059838587403e+00
5.088372000927274144e+02,-4.460410673708844698e+00
5.088455814940180062e+02,-4.460357631981535675e+00
5.088539628974733091e+02,-4.460304933461265442e+00
5.088623443030720068e+02,-4.460252576965545224e+00
5.088707257107930673e+02,-4.460200561315620149e+00
5.088791071206152310e+02,-4.460148885332743340e+00
5.088874885325173523e+02,-4.460097547838949517e+00
5.088958699464786264e+02,-4.460046547666745020e+00
5.089042513624788171e+02,-4.459995883656082682e+00
5.089126327804972902e+02,-4.459945554647079646e+00
5.089210142005136390e+02,-4.459895559479936544e+00
5.089293956225077977e+02,-4.459845897001281756e+00
5.089377770464598143e+02,-4.459796566068527035e+00
5.089461584723500209e+02,-4.459747565540109981e+00
5.089545399001586929e+02,-4.459698894274468195e+00
5.089629213298661625e+02,-4.459650551132775753e+00
5.089713027614533303e+02,-4.459602534988061251e+00
5.089796841949011537e+02,-4.459554844716559607e+00
5.089880656301903059e+02,-4.459507479194505741e+00
5.089964470673020855e+02,-4.459460437298882418e+00
5.090048285062176205e+02,-4.459413717916342002e+00
5.090132099469186642e+02,-4.459367319940267471e+00
5.090215913893866286e+02,-4.459321242264179475e+00
5.090299728336032672e+02,-4.459275483781674154e+00
5.090383542795502194e+02,-4.459230043392163445e+00
5.090467357272099207e+02,-4.459184920004987340e+00
5.090551171765644085e+02,-4.459140112530452171e+00
5.090634986275960614e+02,-4.459095619878866934e+00
5.090718800802871442e+02,-4.459051440962891633e+00
5.090802615346203197e+02,-4.459007574706013166e+00
